Отметка времени,Возраст,Пол,Образование,Балл,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,А такой?,Как бы ты назвал этот цвет?,А такой?,А такой?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,Что это за цвет?,А вот такой?,А вот такой?,Хорошо идёшь! А это какой цвет?,Здесь тоже есть цвет! Какой?,А это какой цвет?,А это какой цвет?,А это какой цвет?,Ещё чуть-чуть!,Последние три!,Ты молодец!,"Последний, честно!",Можешь вспомнить название?,"Есть ли у тебя особенности зрения, связанные с восприятием цветов (дальтонизм, цветовая агнозия, монохромазия и т.д.)?",Сумма
,,,,0,,,,,0.5,0.5,0.5,0.5,,1,0.5,0.5,,,,,0.5,,0.5,0.5,,0.5,,0.5,0.5,0.5,,,,0.5,,,1
15.06.2019 13:12:16,22,женский,Юриспруденция,9,Синий,Оранжевый,Коричневый,Зеленый,Фиалковый ,Бурый,Индиго,Бардовый ,Фиолетовый,Лазурный,Персиковый,Телкэлесный,Черный,Фиолетовый,Розовый ,Черный,Синий,Красный,Серый,Бледно желтый,Коралловый,Зеленый,Белый,Зеленый,Розовый,Коричневый,Серый,Желтый,Голубой,Телесный,Светофор,Нет,0
,,,,0,,,,,1,1,1,1,,1,1,1,,,,,,,,0.5,1,,,,,,,,,1,,,9
15.06.2019 13:15:04,25,мужской,"Архитектура, дизайн, фотография, визуальные искусства",18,Насыщенный синий,Теплый апельсин,Глубокий загар,Лиственный зелёный,Йогурт с черникой,Бархатный коричневый,Персидская ночь,Кровавый красный,Мистический синий,Электрический синий,Персиковая пудра,Холодный абрикос,Стандартный черный,Стандартный фиолетовый,Коралловый,Глубокий черный,Морской синий,Яркий красный,Мокрый асфальт,Лимонная вода,Бледный красный,Авокадо,Белый 255,Ядовитый зелёный,Нежно-розовый,Глубокий коричневый,Металлический,Яркий желтый,Небесный голубой,Светлый персик,Не играл(а),Нет,0
,,,,0,0.5,1,1,1,1,1,1,1,1,1,1,1,,,1,0.5,1,0.5,1,1,0.5,1,0,0.5,0.5,0.5,1,0.5,0.5,1,,,18
15.06.2019 13:15:51,23,мужской,Юриспруденция,11,синий,желтый,коричневый,зеленый,розовый,бурый,синий,бордовый,сиреневый,голубой,персиковый,белесый,черный,сиреневый,светло-сиреневый,черный,светло-синий,алый,серый,белесый,алый,зеленый,белый,зеленый,розовый,темно-коричневый,серый,желтый,голубой,цвет персиковой воды,Не играл(а),Нет,0
,,,,0,,,,,,1,,1,1,,1,1,,1,1,,0.5,1,,1,1,,,,,0.5,,,,1,,,11
15.06.2019 13:16:39,22,женский,Декретный отпуск,9,Синий,Оранжевый ,Коричневый ,Зелёный ,Сиреневый,Кофейный ,Темно-синий,Бордовый,Фиолетовый ,Бирюзовый,Нежно-оранжевый ,Телесный,Черный,Темно-сиреневый ,Малиновый,Черный,Синий,Красный,Оливковый,Светло-бежевый ,Красный ,Темно-зеленый,Белый,Нежно-зеленый,Нежно-розовый,Коричневый,Серый,Желтый,Голубой ,Бежевый ,"Светофор, Цвета",Нет,0
,,,,0,,,,,,1,0.5,1,,1,0.5,1,,1,1,,,,1,1,,0.5,,0.5,0.5,,,,,1,,,9
15.06.2019 13:18:13,22,женский,"Архитектура, дизайн, фотография, визуальные искусства",20,кобальт,горчичный,поносно-коричневый,травяной ,лавандовый,цвет бедра испуганной нимфы,королевский синий,запекшаяся кровь,"сине-фуксия, в зависимости от наклона экрана",циан,телесно-персиковый,бежевый,слишком темный серый,фиолетовый,яркая фуксия,чернее чем слишком темный серый но еще не vantablack,припыленно-синий,корраловый,серый,прозрачно-белый,коралловый,лесной зеленый,белоснежный,теплый мятный,светлая фуксия,коричневый,насыщенный серый,банановый,небесно-голубой,бежево-персиковый,"Красочки в коробочку, Светофор, магазин красок",Нет,0
,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,,1,0.5,0.5,1,,0.5,1,0.5,1,1,1,,0.5,1,0.5,1,,,20
15.06.2019 13:18:24,22,женский,"Социология, экономика, общественные науки",9,синий ,оранжево-желтый,охра,холодный зеленый,сиреневый,бледно-фиолетовый,синий,"фиолетово-красный (я забыла название цвета, сидела тупила)",сиреневый яркий,бирюзовый,персиковый,пастельно-розовый (но тут еще что-то оранжеватое),черный,фиолетовый,ярко-розовый,черный,ярко-голубой,красный,серый,белый,алый,зеленый,белый,морской волны,светло-розовый,коричневый,темно-серый,желтый,бирюзовый,персиковый,"Светофор, Цвета",Нет,0
,,,,0,,0.5,1,0.5,1,0.5,,0.5,1,1,1,0.5,,,0.5,,0.5,,,,1,,,1,0.5,,0.5,,1,1,,,9
15.06.2019 13:20:10,22,женский,"Филология, лингвистика, иностранные языки",9,Синий электрик,Горчичный,Коричневый,Зеленый,Лиловый,Светло-коричневый,Темно-синий,"Бордовый, вишневый",Фиолетовый,Голубой,Персиковый,Песочный,Черный,Фиолетовый,Розовый,Черный,Синий,Красный,Темно Серый,Цвет яичной скорлупы,Алый,Темно зеленый,Белый,Зеленый,Розовый,Темно кормчневый,Серый,Делтый,Голубой,Бежевый,"Красочки в коробочку, Светофор, Цвета",Нет,0
,,,,0,1,1,,,1,0.5,0.5,1,,,1,1,,,,,,,0.5,1,1,0.5,,,,0.5,,,,1,,,9
15.06.2019 13:22:11,20,женский,Юриспруденция,8,Синий,Оранжевый ,Светло-коричневый ,Зеленый,Сиреневый ,Темно-коричневый,Темно-синий,Винный ,Фиолетовый,Ярко-голубой,Персиковый ,Желто-Бежевый,Черный,Фиолетовый,Розовый,Черный,Бледно-синий,Красный,Мокрый асфальт ,Бежевый,Коралловый ,Зеленый,Белый,Светло-зеленый,Нежно-розовый ,Серо-Буро-малиновый ,Серый,Желтый,Голубой,Беж,"Светофор, Цвета",Нет,0
,,,,0,,,0.5,,1,0.5,0.5,1,,0.5,1,1,,,,,0.5,,1,,1,,,0.5,0.5,1,,,,1,,,8
15.06.2019 13:22:57,24,мужской,Образование,4,Синий,Охра,Светло-коричневый,Зелёный,Серый,Светло-бордовый,Синий,Ярко-бардовый,Светло-синий,Цвет океана,Нежно-красный,Светло-красный,Чёрный,Фиолетовый,Светло-фиолетовый,Чёрный,Голубой,Красный,Тёмно-серый,Белый,Красный,Зелёный,Белый,Зелёный,Розовый,Коричневый,Серый,Жёлтый,Лазурный,Розовый,Не играл(а),Нет,0
,,,,0,,1,0.5,,,0.5,,1,0.5,1,0.5,0.5,,,0.5,,,,0.5,,,,,,,,,,1,,,,4
15.06.2019 13:23:18,20,женский,"Филология, лингвистика, иностранные языки",11,Синий ,Оранжевый,Коричневый ,Зелёный ,Сиреневый ,Светло-коричневый ,Темно-синий ,Винный,Лиловый ,Неоновый бирюзовый,Персиковый ,Светло-жёлтый ,Чёрный ,Фуксия ,Неоновый розовый ,Чёрный ,Цвет морской волны ,Алый ,Цвет мокрого асфальта ,Кремовый ,Светло-красный ,Темно-зелёный ,Белый ,Зелёно-салатовый,Нежно-розовый ,Темно-коричневый ,Серый ,Неоновый жёлтый ,Голубой ,Светло-персиковый ,Не играл(а),Нет,0
,,,,0,,,,,,0.5,0.5,1,1,1,1,0.5,,1,0.5,,1,1,1,1,0.5,0.5,,1,0.5,0.5,,0.5,,1,,,11
15.06.2019 13:24:44,23,женский,"Социология, экономика, общественные науки",14,Синий,"золотистый, охристый, желто-оранжевый",Коричневый,Зеленый,"Сиреневый, лавандовый, светло-фиолетовый",Коричневый с сиреневым оттенком,Темно-синий,Бордовый,Ярко-сиреневый,Аквамарин,"Розовый, персиковый","светло-желтый, цвет слоновой кости",черный,"фиолетовый, пурпурный",Лиловый,Черный,Синий,Красный,Темно-серый,белый,красный,"Темно-зеленый, травяной зеленый",белый,"Зеленый, светло-зеленый, холодный светло-зеленый",Розовый,Темно-коричневый,Темно-серый,Лимонный желтый,Бирюзовый,"Бежевый, светло-оранжевый, светло- лососевый",Светофор,Нет,0
,,,,0,,1,,,1,1,0.5,1,1,1,1,1,,1,1,,,,0.5,,,1,,0.5,,0.5,0.5,1,1,1,,,14
15.06.2019 13:26:01,24,мужской,IT,7,Синий,Оранжевый,Коричневый,Зеленый,Сиреневый,Светло-коричневый,Темно-синий,Бордовый,Фиолетовый,Бирюзовый,Коралловый,Бледно-желтый,Не очень черный,Темно-фиолетовый,Розовый,Черный,Светло-синий,Красный,Бурый,Слоновой кости,Светло-красный,Темно-зеленый,Белый,Светло-зеленый,Коралловый,Темно-коричневый,Светло-серый,Желтый,Голубой,Бледно-коралловый,Не играл(а),Нет,0
,,,,0,,,,,1,0.5,0.5,1,,1,1,0.5,0.5,0.5,,,0.5,,1,1,0.5,0.5,,0.5,1,0.5,0.5,,,0.5,,,7
15.06.2019 13:26:40,21,женский,"Филология, лингвистика, иностранные языки",11,Синий,Оранжевый,Коричневый,Зелёный,Сиреневый,Коричневый,Синий,Бордовый,Фиолетовый,Бирюзовый,Оранжевый,Бежевый,Чёрный ,Лиловый,Фуксиевый,Чёрный ,Цвет морской волны ,Алый,Болотный,Кремовый,Красный,Зелёный,Белый,Зелёный,Розовый,Тёмно-коричневый,Серый,Жёлтый, Голубой,Персиковый,Светофор,Нет,0
,,,,0,,,,,1,,,1,,1,,1,,1,1,,1,1,1,1,,,,,,0.5,,,,1,,,11
15.06.2019 13:26:57,23,женский,Журналистика,7,Синий,Оранжевый ,"Коричневый, шоколадный ",Зелёный ,Фиолетовый ,Коричневый,Глубокий синий,Алый ,Фиолетовый ,Лазурный ,Персиковый ,Бежевый ,Чёрный ,Фиолетовый ,Розовый ,Чёрный ,Голубой ,Красный ,Серый ,Бежевый ,Коралловый ,Зелёный ,Белый ,Зелёный ,Розовей ,Коричневый ,Серый ,Жёлтый ,Голубой ,Персиковый ,Красочки в коробочку,Нет,0
,,,,0,,,1,,,,0.5,1,,1,1,1,,,,,,,,,1,,,,,,,,,1,,,7
15.06.2019 13:28:06,23,женский,"Социология, экономика, общественные науки",12,Синий ,Оранжевый ,Светло-коричневый ,Зеленый ,Цвет фуксии ,Кирпичный ,Темно-синий ,Бордовый ,Фиолетовый ,Бирюзовый ,Персиковый ,Блекло-жёлтый ,Чёрный ,Пурпурный ,Розовый ,Снова чёрный),Небесный ,Красный ,Цвет хаки ,Молочный ,Алый ,Темно-зелёный ,Белый!,Светло-зелёный ,Нежно-розовый ,Каштановый,Серый ,Желтый ,Голубой ,Телесный ,Светофор,Нет,0
,,,,0,,,0.5,,1,1,0.5,1,,1,1,0.5,,1,,,1,,1,1,1,0.5,,0.5,0.5,1,,,,1,,,12
15.06.2019 13:31:32,23,женский,"Филология, лингвистика, иностранные языки",6,Синий,Оранжево-желтый,Коричневый,Зеленый,Грязно лиловый,Затрудняюсь ответить ,Насыщенный синий,Темно алый,Фиолетовый,"Голубой, небесный, бирюзовый",Персиковый,Песочный ,Черный,Фмолетовый,"Ярко розовый, фукси ",Черный,Синий,Ярко красный,Асфальтовый ,Бледно желтый,Затрудняюсь ответить,Зеленый,Белый? Прозрачный ?,Зелёный ,Нежно Розовый ,Коричневый,Серый,Желтый,Голубой,Персиковый,Светофор,Нет,0
,,,,0,,0.5,,,1,-1,0.5,1,,1,1,1,,,1,,,0.5,1,0.5,-1,,,,,,,,,1,,,6
15.06.2019 13:33:13,25,женский,IT,9,ярко-синий,оранжевато жёлтый,коричневый,ярко-зеленый,лиловый,нежно-коричневый с розоватым отливом,насыщенный темно-синий,малиновый,ярко-фиолетовый,ярко-бирюзовый (или цвета циан),коралловый,пастельный желтый,черный,пурпурный,ярко-розовый,черный,приглушенный синий (чуть смешанный с серым),ярко-красный,серый с зеленоватым отливом,кремовый белый,слегка приглушенный красный (чуть смешанный с белым),изумрудный,белый,салатовый,пастельный розовый,темно-коричневый,серый,ярко-желтый,ярко-голубой,персиковый,Светофор,Нет,0
,,,,0,0.5,0.5,,0.5,1,0.5,0.5,1,0.5,1,1,0.5,,1,0.5,,0.5,0.5,0.5,1,0.5,1,,1,0.5,0.5,,0.5,0.5,1,,,9
15.06.2019 13:38:16,23,мужской,"Социология, экономика, общественные науки",20,синий?,оранжевый!,говна,изумрудный,сиреневый,серо-буро-малиновый,navy,бордовый,фиолетовый,аквамарин,морковный!,песочный,черный,magenta,фуксия,негры-шахтеры дерутся ночью в пещере,цвет морской волны,алый,темно-серый,кремовый,малиновый,темно-зеленый,белый!,салатовый,нежно-розовый,темно-коричневый,пепельный,лимонный,голубой,nude,,Нет,0
,,,,0,,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,0.5,1,1,0.5,,1,0.5,0.5,1,1,,1,,,20
15.06.2019 13:44:17,22,мужской,"Филология, лингвистика, иностранные языки",15,Насыщенный синий,Оранжевый,Коричневый,Травянистый зеленый,Пастельный сиреневый,Розово-коричневый,Индиго,Бордовый,Сине-фиолетовый,ярко-бирюзовый,Нежно-оранжевый,Пастельный желтый,Черный,Насыщенный пурпурный,Яркий ненасыщенный розовый,Черный,Бледный лазурный,Алый,Зелено-коричневый,Пастельный желтый,Морковный без моркови,Изумрудный,Белый,Бледно-зеленый,Бежевый,Черно-коричневый,Серый мышиный ,Лимонный,Ярко-лазурный,Бежевый,Светофор,Нет,0
,,,,0,0.5,,,1,1,0.5,1,1,0.5,1,0.5,0.5,,1,0.5,,1,1,0.5,0.5,1,1,,0.5,1,0.5,1,1,1,1,,,15
15.06.2019 13:45:28,16,женский,Школа,4,Синий,Горчичный,Коричневый ,Зеленый ,Сиреневый ,Коричневый ,Синий,Красный,Фиолетовый ,Бирюзовый ,Оранжевый ,Бежевый ,Черный,Фуксия,Розовый,Черный,Синий,Красный,Серый,Белый ,Красный,Зеленый,Белый,Зеленый ,Розовый ,Коричневый ,Серый,Желтый,Голубой,Розовый ,Красочки в коробочку,Нет,0
,,,,0,,1,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,4
15.06.2019 13:47:46,23,женский,"Социология, экономика, общественные науки",6,Синий,Оранжевый,Коричневый,Темно зелёный ,Фиалковый,Коричневый ,Глубокий Синий,Темно красный или бордовый,Фиолетовый,Светло голубой,Персиковый,Ванильный,Чёрный ,Фиолетовый,Ярко розовый ,Чёрный ,Некрасивый синий,Ярко красный,Грязно зеленый,Светло молочный,Красный,Темно зелёный ,Белый,Зелёный ,Светло розовый,Чёрный ,Серый,Ярко желтый ,Голубой ,Телесный,Красочки в коробочку,Нет,0
,,,,0,,,,0.5,1,,0.5,1,,0.5,1,1,,,0.5,,0.5,0.5,0.5,1,,0.5,,,0.5,,,0.5,,1,,,6
15.06.2019 13:53:39,53,женский,Образование,15,Васильковый,Апельсиновый,Коричневый,Сочная зелень,Нежно-сиреневый,Коричневый,Темно-синий,Терракотовый,Фиолетовый,Ярко бирюзовый,Ярко оранжевый,Персиковый,Черный,Темно сиреневый,Ярко розовый,Черный,Синий,Алый,Асфальтовый,Молочный,Алый,Темно зеленый,Белый,Ярко зеленый,Нежно розовый,Темно коричневый,Серый,Лимонный,Лазурный,Персиковый,"Светофор, Цвета",Нет,0
,,,,0,1,1,,1,1,,0.5,1,,1,0.5,1,,1,0.5,,,1,1,1,1,0.5,,0.5,0.5,0.5,,1,1,1,,,15
15.06.2019 13:55:44,23,женский,"Социология, экономика, общественные науки",9,Синий,Оранжевый,Коричневый,Зеленый,Сиреневый,Шоколадный,Темно-синий,Бордовый,Фиолетовый,Ярко-голубой ,Персиковый,Молочный,Черный,Лиловый,Ярко-розовый,Черный,Бирюзовый ,Красный,Хаки,Светло-бежевый,Красно-оранжевый,Темно-зеленый,Белый ,Светло-зеленый,Розовый ,Темно-бордовый,Серый,Желтый,Светло-синий,Персиковый,Не играл(а),Нет,0
,,,,0,,,,,1,1,0.5,0.5,,0.5,1,1,,1,0.5,,1,,1,0.5,0.5,0.5,,0.5,,1,,,0.5,1,,,9
15.06.2019 14:02:35,18,женский,"Социология, экономика, общественные науки",7,Синий,Оранжевый,Коричневый,Зелёный ,Лавандовый,Светло-Коричневый ,Синий,Бордовый,Фиолетовый,Бирюзовый,Персиковый,Песочный,Черный,Фиолетовый,Розовый,Черный,Синий,Красный,Серый,Молочный,Красный,Темно-зелёный ,Белый,Зелёный ,Розовый,Коричневый,Серый,Жёлтый ,Голубой,Персиковый ,Красочки в коробочку,Нет,0
,,,,0,,,,,1,0.5,,1,,1,1,1,,,,,,,,1,,0.5,,,,,,,,1,,,7
15.06.2019 14:02:45,23,мужской,Юриспруденция,10,Синий,Оранжевый,Коричневый,Зелёный,Молочный фиолетовый,Молочный коричневый,Синий,Бордовый,Фиолетовый,Токсичный голубой,Постельный оранжевый,Цвет протеза,Черный,Фиолетовый,Молочный фиолетовый,Черный,Немного пастельный синий,Красный,Серый,Старый белый,Мягкий красный,Ирландская зелень,Чистый белый,Салатовый,Не пошлый розовый,Коричневый,Небо Петербурга,Желтый,Голубой,Телесный (я не расист),Светофор,Нет,0
,,,,0,,,,,1,1,,1,,0.5,0.5,1,,,1,,0.5,,,0.5,0.5,1,0.5,1,1,,1,,,1,,,10
15.06.2019 14:03:31,24,женский,"Филология, лингвистика, иностранные языки",15,синий,охристо-желтый,светло-коричневый,зеленый травяной,лавандовый,темная пыльная роза,синий,масала,ярко лавандовый,ярко бирюзовый,яркий персиковый,слоновая кость,графит,фиолетовый,лиловый,черный,яркий небесно-голубой,красный,мокрый асфальт,белый,красно-розовый,темный изумруд,белый,яркий мятный,нежный розово-фиолетовый,коричневый,серый,приглушенный желтый,голубой,нежно-розовый,"Цветной король, Красочки в коробочку",Нет,0
,,,,0,,1,0.5,1,1,1,,1,1,1,1,1,1,,1,,1,,1,,0.5,1,,1,0.5,,,0.5,,0.5,,,15
15.06.2019 14:06:13,23,женский,"Филология, лингвистика, иностранные языки",22,Ярко-синий ,Оранжевый,Терракотовый,Свежая зелень ,Лавандовый ,Бежевый ,Индиго,Винный,Ядовито-сиреневый ,Бирюзовый,Персиковый ,Кремовый,Чёрный ,Лиловый ,Фуксия,Чёрный ,Деним,Алый ,Асфальтовый ,Опаловый ,Коралловый ,Изумрудный ,Белый ,Мятный ,Розовый ,Темно-коричный ,Серый ,Лимонный ,Голубой ,Телесный ,"Возможно, играла во что-то из этого, но не помню названий ",Нет,0
,,,,0,0.5,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,1,,1,,1,,1,,,22
15.06.2019 14:12:56,16,женский,IT,21,Светло-синий,Апельсиновый,Бурый,Грязно-зелёный ,Сиреневый,Малиново-бурый,Темно-синий ,Темно-кровяной,Предрассветного неба ,Лазурный ,Персиковый,Бледно-телесный,Ночного неба ,Розово-фиолетовый ,Сиренево-розовый,Черный,Морской волны ,Алый,Глиняный ,Молочный ,Красный ,Болотный ,Снежный ,Мятный ,Розово-пудровый,Темно-коричневый,Слоновий,Жёлтый ,Российско-флажный-голубой ,Телесно-пудровый,"Цветной король, Светофор",Нет,0
,,,,0,0.5,1,1,0.5,1,1,0.5,1,1,1,1,1,1,0.5,0.5,,1,1,1,1,,1,1,1,1,0.5,1,,1,1,,,21
15.06.2019 14:14:15,22,женский,"Филология, лингвистика, иностранные языки",20,Индиго,Жарок,Молочный шоколад,Насыщенный зеленый,Нежная сирень,Красное дерево,Глубокая синева,Тёмная малина,Неон,Яркая бирюза, Розовый апельсин,Молочный крем,Графитовый чёрный ,Яркий фиолетовый,Фуксия,Чёрный,Приглушенный синий,Кричащий красный,Болотный серый,Айвори,Красно-розовый,Тёмный лес,Белоснежный,Мягкий зеленый,Фламинго,Тёмный шоколад,Серый,Жёлтый,Голубой,Насыщенный нюд,Не играл(а),Нет,0
,,,,0,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,,0.5,0.5,1,1,0.5,1,1,0.5,1,1,,,,1,,,20
15.06.2019 14:14:43,27,мужской,IT,11,Синий,Оранжевый,Коричневый,Изумрудный,Лиловый,Шоколадный,Тёмно-синий,Бордовый,Фиолетовый,Голубой,Коралловый,Бежевый,Чёрный ,Пурпурный,Фуксия ,Чёрный ,Синий ,Красный,Серо-зелёный ,Белый,Алый,Изумрудный ,Белый!,Зелёный ,Розовый,Темно-коричневый,Темно-серый ,Желтый ,Голубой,Розово-бежевый,Не играл(а),Нет,0
,,,,0,,,,1,1,1,0.5,1,,,1,1,,1,1,,,,0.5,,1,1,,,,0.5,0.5,,,1,,,11
15.06.2019 14:19:31,22,женский,Образование,10,ярко-синий,мандариновый,коричневый,цвет травы,сиреневый ,не знаю,темно-синий,бордовый,фиалковый,бирюза,фикусовый,бледно-розовый,черный,фиолетовый ,розовый,черный,темно-голубой,красный,серый,бледно-бледно-розовый,алый,темно-зеленый,белый,аквамарин,лавандовый,коричневый,серый,лимонный,голубой,розовый,"Светофор, Цвета",Нет,0
,,,,0,0.5,1,,1,1,-1,0.5,1,1,1,1,0.5,,,,,0.5,,,0.5,1,0.5,,1,1,,,1,,,,,10
15.06.2019 14:26:12,22,женский,"Филология, лингвистика, иностранные языки",9,Насыщенный голубой,Оранжевый,Коричневый,Травяной,Бледно-лиловый,Бледно-коричневый,Синий,Бордовый,Сиреневый,Бирюзовый,Лососёвый,Бледно-жёлтый,Чёрный,Фуксия,Фуксия,Чёрный,Голубой,Алый,Серо-зелёный,Бледно-жёлтый,Бледно-алый,Тёмно-зелёный,Белый,Светло-зелёный,Светло-розовый,Тёмно-коричневый,Серый,Жёлтый,Голубой,Телесный,Светофор,Нет,0
,,,,0,0.5,,,1,0.5,0.5,,1,1,1,1,0.5,,1,1,,,1,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,,,1,,,9
15.06.2019 14:34:08,27,мужской,Юриспруденция,9,Синий ,Оранжевый ,Охра,Зелёный ,Сиреневый ,Бледно коричневый ,Синий ,Малиновый ,Фиалковый ,Голубой ,Оранжевый ,Крем брюле,Чёрный ,Пурпурный ,Ярко пурпурный ,Чёрный уголь ,Синий ,Ярко красный ,Серый ,Бледно белый ,Красный ,Хаки ,Белый ,Зелёный ,Бледно розовый ,Чёрный но не совсем прям ,Серый ,Ярко желтый ,Голубой ,Бледно розовый ,Цветной король,Нет,0
,,,,0,,,1,,1,0.5,,1,1,,,1,,1,1,1,,0.5,,0.5,,1,,,0.5,,,0.5,,0.5,,,9
15.06.2019 14:35:17,24,женский,Маркетинговые исследования ,14,Синий ,Оранжевый ,Коричневый ,Зелёный ,Сиреневый,Бежево-коричневый,Темно-синий ,Бордо (бордово-коричневый) ,Сиренево-синий,Аквамарин (светлый) ,Ненасыщенный оранжевый ,Светло-бежевый,Черный,Фиолетовый ,Фуксия,Чёрный ,"Аквамарин (тёмный), спокойный синий",Красный ,Темно - серый ,Молочный ,"Киноварь, холодный красный ",Болотно-зеленый,Прозрачный :)) ,"Светло-зеленый, мягкий ",Нежно-розовый ,"Коричнево - чёрный, темно-коричневый",Серый ,Ярко-жёлтый ,"Небесно-голубой, темно-голубой",Светлый бежево-коричневый,Светофор,Нет,0
,,,,0,,,,,1,1,0.5,1,1,1,0.5,1,,,1,,1,,0.5,1,1,1,1,0.5,0.5,0.5,,0.5,1,1,,,14
15.06.2019 14:35:32,27,мужской,строительство,15,ультрамарин,абрикосовый,ореховый,светло-зеленый,пурпурный,розово-коричневый,синий,бордовый,сиреневый,лазурный,персиковый,бежевый,черный,фиолетовый,неоновый,черный,небесный,алый,серый,белый,нежнорозовый,темно-зеленый,белый,нежно-кислотный,бледнорозовый,шоколадный,серый,лимонный,ярко-голубой,телесный,Не играл(а),Нет,0
,,,,0,1,1,1,0.5,1,0.5,,1,1,1,1,,,,1,,1,1,,,0.5,0.5,,1,0.5,1,,1,0.5,1,,,15
15.06.2019 14:37:43,22,женский,"Социология, экономика, общественные науки",11,Синий,Рыжий ,Коричневый,Зелёный ,Нежно-фиалковый,Молочный шоколад ,Темно-синий ,Бордовый ,Сиреневый,Голубой,Персиковый ,Песочный,Чёрный,Фиолетовый ,Розовый,Чёрный ,Джинса ,Красный ,Темно-серый ,Молочный ,Караловый ,Темно-зелёный ,Белый ,Бледно-зелёный ,Светло-розовый ,Темно-коричневый ,Светло-серый ,Желтый ,Голубой ,Нежно-персиковый,Красочки в коробочку,Нет,0
,,,,0,,1,,,1,1,0.5,1,1,,1,1,,,,,1,,0.5,1,1,,,0.5,0.5,0.5,0.5,,,1,,,11
15.06.2019 14:40:02,17,мужской,Музыка,24,Ярко-синий,Хурма,Молочный шоколад,Несвежая зелень,Пыльный розовый,Бордолетовый,Сумеречно-синий,Кровавый,Неоново-сиреневый,Бирюзовый,Персиковый,Песчаная охра,Светящийся черный,Ярко-сиреневый,Неоновый сиреневый,Светло-черный,Небесный,Ярко-красный,Асфальтовый,Молочный,Алый,Хвойный,Белый,Светло-салатовый,Губной,Мокрая почва,Стальной,Ярко-желтый,Васильковый,Крем Брюле,"Красочки в коробочку, Светофор",Нет,0
,,,,0,0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,1,,1,1,1,1,0.5,1,1,,,24
15.06.2019 14:40:31,22,мужской,Юриспруденция,7,Синий,Оранжевый,Коричневый,Зелёный ,Сиреневый,Светло коричневый ,Темно синий,Бардовый,Фиолетовый,Алмазный ,Телесный,"Вот это телесный, а там был темно оранжевый=)",Чёрный ,Фиолетовый ,Розовый ,Черный,Синий,Красный,Серый,Белый,Красный,Лесной ,Бесцветный),Светло зелёный ,Розовый,Чёрный ,Серый,Жёлтый ,Синий,Телесный),Светофор,Нет,0
,,,,0,,,,,1,0.5,0.5,1,,1,1,0.5,,,,,,,,,,1,1,0.5,,,,,,1,,,7
15.06.2019 14:43:37,31,женский,"Социология, экономика, общественные науки",6,Синий,Орнжевый,Коричневый,Зелёный,Светло фиолетовый,Светло коричнево бордовый,Синий,Бордовой,Светло фиолетовый,Ярко голубой,Светло оранжевый,Бледно жёлтый,Черный,Темный цвет фуксии,Ярко розовый,Черный,Синий,Ярко красный,Темно серый,Бледно бледно жёлтый,Красный,Темно изумрудно зелёный,Белый,Светло зелёный,Пудровая роза,Темно коричневый,Серый,Жёлтый,Голубой,Само,Не играл(а),Нет,0
,,,,0,,,,,0.5,1,,1,0.5,0.5,0.5,0.5,,1,0.5,,,0.5,0.5,0.5,,1,,0.5,1,0.5,,,,1,,,6
15.06.2019 14:46:42,17,женский,"Филология, лингвистика, иностранные языки",4,Синий ,Оранжевый,Коричневый,Зелёный ,Сиреневый ,Грязно розовый,Тёмно-синий,Бордовый,Фиолетовый,Бирюзовый,Светло оранжевый,Персиковый,Черный,Светло- фиолетовый ,Розовый ,Черный,Голубой,Красный,Серый ,Светло-желтый ,Красный,Темно-зеленый ,Белый ,Зелёный ,Пурпурный,Коричневый,Серый ,Жёлтый ,Голубой,Светло-оранжевый ,Светофор,Нет,0
,,,,0,,,,,,0.5,0.5,1,,1,0.5,1,,0.5,,,,,,0.5,,0.5,,,1,,,,,0.5,,,4
15.06.2019 14:49:53,18,женский,Тренер,3,Синий,Оранжевый ,Коричневый ,Зелёный ,Сиреневый ,Светло коричневый,Темно синий ,Бордовый ,Фиолетовый ,Бирюзовый ,Бежевый,Светло жёлтый ,Чёрный ,Фиолетовый ,Розовый ,Чёрный ,Синий ,Красный,Грязно зелёный ,Пастельный желтый,Красный,Зелёный ,Белый ,Светло зелёный ,Светло розовый ,Темно коричневый ,Серый,Ярко жёлтый ,Голубой ,Бежевый,Светофор,Нет,0
,,,,0,,,,,1,0.5,0.5,1,,,,0.5,,,,,,,0.5,0.5,,,,0.5,0.5,0.5,,0.5,,1,,,3
