Отметка времени,Возраст,Пол,Образование,Балл,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,А такой?,Как бы ты назвал этот цвет?,А такой?,А такой?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,Что это за цвет?,А вот такой?,А вот такой?,Хорошо идёшь! А это какой цвет?,Здесь тоже есть цвет! Какой?,А это какой цвет?,А это какой цвет?,А это какой цвет?,Ещё чуть-чуть!,Последние три!,Ты молодец!,"Последний, честно!",Можешь вспомнить название?,"Есть ли у тебя особенности зрения, связанные с восприятием цветов (дальтонизм, цветовая агнозия, монохромазия и т.д.)?",Сумма
15.06.2019 12:23:44,22,мужской,"Филология, лингвистика, иностранные языки",7,синий,горчичный,коричневый,зелёный,фиалковый,грязно-коричневый,синий,бордовый,фиолетовый,бирюзовый,персиковый,бежевый,чёрный,фиолетовый,ярко-фиолетовый,чёрный,лазурный,красный,серый,белый,бледно-красный,тёмно-зелёный,белый,изумрудный,розовый,тёмно-коричневый,серый,жёлтый,небесно-синий,бледно-розовый,Не играл,Нет,0
,,,,0,0,1,0,0,1,0.5,0,1,0,0.5,1,1,0,0,0.5,0,1,0,0,0,0.5,0.5,0,1,0,0.5,0,0,0.5,0.5,,,7
15.06.2019 12:24:03,17,женский,"Филология, лингвистика, иностранные языки",4,Синий,Оранжевый ,Коричневый ,Зелёный ,Сиреневый,Коричневый ,Индиго,Бордовый,Фиолетовый ,Голубой,Оранжевый ,Желтый ,Чёрный,Фиолетовый ,Розовый,Чёрный,Синий,Красный,Серый,Светло - жёлтый ,Красный,Зелёный,Белый,Зелёный,Розовый,Коричневый,Серый,Желтый ,Голубой ,Бежевый,Светофор,Нет,0
,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,,,4
15.06.2019 12:24:07,22,женский,"Филология, лингвистика, иностранные языки",6,Синий ,Оранжевый,Коричневый,Зелёный ,Сиреневый,Светло коричневый,Синий,Бордовый,Фиолетовый,Голубой,Персиковый ,Бежевый,Черный,Финансовый ,Ярко розовый,Черный,Синий,Красный,Серый,Белый?,Красный,Зелёный,Белый,Зеленый,Розовый,Черный ,Серый,Желтый,Голубой,Телесный,"Светофор, Цвета",Нет,0
,,,,0,0,0,0,0,1,0.5,0,1,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,6
15.06.2019 12:24:14,21,женский,"Филология, лингвистика, иностранные языки",6,сине-фиолетовый,желтый,коричневый,зеленый,розовый,коричневый,синий,бардовый,фиолетовый,бирюзовый,персиковый,бежевый,черный,фиолетовый,розовый,черный,голубой,красный,серый,лимонный,красный,зеленый,белый,зеленый,розовый,черный,серый,желтый,голубой,персиковый,Не играл,Нет,0
,,,,0,0.5,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,6
15.06.2019 12:24:15,23,женский,"Филология, лингвистика, иностранные языки","15,5",ультрамарин,подсолнуховый,коричневый,ель,лавандовый,"как будто смешали все цвета из коробки, не знаю)))",тёмно-синий,бордовый,лиловый,небесно-голубой,оранжево-бежевый,светло-бежевый,угольный,фиолетовый,светло-лиловый,чёрный,пыльный синий,краснющий,тёмно-серый,жёлто-белый,коралловый,лесной,белый,салатовый,пыльная роза :D,тёмно-коричневый,серый,жёлтый,голубой,бежевый,Светофор,Нет,0
,,,,0,1,1,0,1,1,-1,0.5,1,1,1,1,0.5,1,0,1,0,1,0.5,"0,5",0.5,1,1,0,1,1,0.5,0,0,0,1,,,"15,5"
15.06.2019 12:24:57,23,женский,"Филология, лингвистика, иностранные языки",15,Ярко-синий,"Оранжевый, цвет дыни ",Коричневый ,Насыщенные зелёный ,Лиловый ,Лилово-коричневый ,Индиго,Красный ,Фиолетовый ,"Аквамарин, цвет воды в бассейне аквапарка ",Персиковый,Телесный,Чёрный ,Фиолетово-малиновый ,Фуксия ,Черный,"Синий, морской ",Ярко-красный,Серо-зелёный ,Слоновая кость ,Коралловый ,Темно-зелёный ,Белый,Светло-зелёный ,Розовый,Шоколадный ,Серый ,Лимонный ,Голубой ,Персиково-телесный,"Светофор, Цвета",Нет,0
,,,,0,0.5,1,0,0.5,1,1,1,0,0,1,1,1,0,1,1,0,1,0.5,0.5,1,1,0.5,0,0.5,0,1,0,1,0,1,,,15
